,date,whi_temp,whi_temp_min,whi_temp_max,whi_feels_like,whi_pressure,whi_humidity,whi_clouds,whi_rain
17,1968-02-25,-199.30279541015625,42.58415985107422,680.0884399414062,382.8638916015625,-607.4823608398438,405.2965393066406,594.6956787109375,212.44786071777344
16,1968-11-02,-210.4704132080078,-367.6193542480469,319.1332702636719,450.47698974609375,-259.52874755859375,-591.489501953125,353.2080078125,181.16708374023438
42,1968-11-23,219.4661407470703,-270.3087158203125,174.0047149658203,131.9370880126953,-128.76223754882812,-124.6309585571289,101.3464584350586,-35.87199401855469
54,1968-12-22,228.07394409179688,-81.78858947753906,324.31793212890625,194.82899475097656,-231.9680938720703,255.71824645996094,399.32366943359375,-285.6220703125
41,1969-01-14,67.12223052978516,-178.7773895263672,5.044515132904053,70.79021453857422,-121.28375244140625,-203.8214569091797,203.8773193359375,-132.57247924804688
22,1969-01-17,311.4850769042969,344.65325927734375,-354.8608093261719,403.97320556640625,-422.4751892089844,-206.07638549804688,-341.9169616699219,-135.9069366455078
46,1969-02-08,253.33555603027344,-320.87103271484375,329.7806701660156,199.56016540527344,-34.84791946411133,165.34609985351562,354.4613952636719,334.48699951171875
98,1969-02-20,-318.8738098144531,-341.8843688964844,-290.0361633300781,340.7312316894531,-67.99571990966797,205.22544860839844,31.807361602783203,331.25823974609375
24,1969-03-09,265.2382507324219,-336.5343933105469,-6.578092575073242,286.37042236328125,-104.14961242675781,144.43276977539062,465.9411926269531,223.18898010253906
97,1969-03-11,190.06605529785156,-92.9862289428711,150.23760986328125,-129.72903442382812,-275.2123718261719,15.767504692077637,137.77378845214844,107.96360778808594
52,1969-03-26,97.16268157958984,-132.59912109375,321.2782287597656,-122.83999633789062,90.3362808227539,37.79930114746094,550.6558227539062,-507.7806091308594
49,1969-04-04,287.3956604003906,62.703514099121094,-249.8889617919922,-65.45895385742188,38.321441650390625,147.2179718017578,-204.61297607421875,-103.51222229003906
76,1969-04-15,57.31431198120117,-98.71819305419922,327.19183349609375,-158.0174102783203,-200.8598175048828,26.41065216064453,119.50959014892578,-226.29556274414062
3,1969-04-15,280.712646484375,329.42816162109375,-655.1979370117188,-213.1917266845703,33.76688766479492,601.0325317382812,131.7248077392578,353.5697021484375
12,1969-04-20,-210.74903869628906,-466.6819152832031,930.7364501953125,593.3892822265625,-292.012939453125,19.81144905090332,721.3855590820312,428.63482666015625
70,1969-04-27,-66.953369140625,78.4003677368164,34.48981475830078,231.78564453125,-112.02462768554688,161.34962463378906,340.1883850097656,454.7523193359375
40,1969-04-28,22.091127395629883,103.23626708984375,352.3802490234375,123.7048568725586,-21.302377700805664,138.606201171875,97.01311492919922,117.7587661743164
71,1969-05-12,-84.36343383789062,-325.01300048828125,-149.40106201171875,-348.386474609375,119.06996154785156,85.4857177734375,265.55291748046875,192.5962371826172
72,1969-05-25,-167.40928649902344,-16.449710845947266,-125.38338470458984,-423.8648376464844,17.8482723236084,255.60244750976562,142.42955017089844,368.27545166015625
8,1969-06-17,-309.86993408203125,-436.8586730957031,-244.12277221679688,-133.47616577148438,-30.08807945251465,-34.23075485229492,188.75233459472656,396.30780029296875
43,1969-06-30,-25.108623504638672,157.92906188964844,605.306396484375,-528.1297607421875,-252.62232971191406,443.9937744140625,405.9213562011719,-513.6339111328125
89,1969-07-04,-32.600765228271484,-523.2062377929688,404.9895324707031,3.294672727584839,-450.59869384765625,-155.29994201660156,615.6073608398438,271.02923583984375
75,1969-07-10,189.0323944091797,-47.62000274658203,451.53778076171875,136.70204162597656,-254.49835205078125,-27.385881423950195,524.5538940429688,-244.67930603027344
26,1969-08-03,200.18003845214844,35.344730377197266,217.10438537597656,28.74962043762207,-316.2882995605469,-368.5062255859375,-270.9522705078125,-128.61660766601562
33,1969-08-06,-493.4019775390625,-25.77800941467285,258.9004821777344,344.4896240234375,-202.62779235839844,54.6937370300293,579.6273803710938,260.2728576660156
86,1969-08-28,121.51349639892578,101.47805786132812,-228.42466735839844,339.89019775390625,-123.72820281982422,362.93206787109375,156.81024169921875,476.68597412109375
81,1969-09-05,-212.54843139648438,283.248046875,96.69388580322266,-44.74514389038086,-134.1866912841797,-166.55592346191406,195.95509338378906,-258.27508544921875
92,1969-09-05,-8.928594589233398,20.72243881225586,6.472228527069092,59.40178298950195,180.79946899414062,180.49371337890625,232.4269561767578,224.07742309570312
90,1969-09-13,-147.9522247314453,-269.6979064941406,649.878173828125,542.3988647460938,-423.235107421875,-26.689016342163086,426.01239013671875,151.14666748046875
29,1969-10-01,161.5835418701172,-162.30825805664062,-288.8351745605469,279.6410217285156,-433.6877136230469,-463.892333984375,-59.146644592285156,-52.69841766357422
78,1969-10-10,248.05276489257812,141.27418518066406,392.7318115234375,120.49224090576172,-119.80207061767578,-190.3412322998047,-300.35382080078125,-185.8994903564453
50,1969-10-11,-106.2057113647461,182.11167907714844,122.6431884765625,628.7527465820312,282.0861511230469,108.5945816040039,-73.54627990722656,-219.37911987304688
18,1969-10-18,361.0142822265625,-6.08620548248291,-414.84576416015625,-147.3857421875,-55.40862274169922,10.599851608276367,46.40129470825195,-299.3702087402344
32,1969-10-20,-7.772394180297852,272.6451721191406,-163.62974548339844,265.86279296875,21.824737548828125,91.44437408447266,87.09913635253906,211.64273071289062
73,1969-10-26,68.74976348876953,330.8563537597656,-15.605770111083984,-224.8814697265625,-202.5056915283203,-107.25150299072266,210.06161499023438,-221.73533630371094
1,1969-11-08,-136.99984741210938,-330.0264587402344,34.83524703979492,-173.155029296875,237.3673858642578,-199.23318481445312,283.9440002441406,20.797691345214844
79,1969-11-15,-12.233647346496582,-40.326995849609375,49.04631042480469,328.7818298339844,-39.965484619140625,101.96515655517578,-44.04887771606445,202.89202880859375
57,1969-11-18,-209.063232421875,154.65635681152344,-46.16587829589844,-183.73167419433594,-94.79498291015625,24.6136531829834,56.05671691894531,-24.587482452392578
44,1969-11-18,288.3055419921875,283.6571044921875,148.7996063232422,315.3780822753906,-237.58180236816406,-12.615509986877441,-318.6013488769531,28.584379196166992
48,1969-11-22,-177.1596221923828,-333.70361328125,246.14996337890625,-122.99388122558594,-334.7231140136719,-344.9225769042969,9.85610580444336,-170.11297607421875
38,1969-12-16,-223.97271728515625,-123.11060333251953,281.0015563964844,204.8229522705078,254.36915588378906,-49.80641174316406,564.662353515625,199.16880798339844
37,1969-12-28,56.16684341430664,-158.76173400878906,351.90728759765625,-55.96435546875,-530.1411743164062,-135.9794158935547,228.6295623779297,-240.76495361328125
74,1969-12-30,22.593162536621094,-85.56719970703125,307.7088928222656,-54.470542907714844,31.663888931274414,-116.03922271728516,-539.4031372070312,-106.75537872314453
23,1970-01-06,102.82628631591797,-188.06198120117188,646.9484252929688,483.28607177734375,33.84996795654297,-265.04156494140625,176.48985290527344,1.0769917964935303
58,1970-01-06,-262.2197265625,53.899898529052734,195.48902893066406,285.5426330566406,-123.84928131103516,-349.5706787109375,784.2435302734375,-713.772216796875
